557,Urine,Urine,Extracellular vesicles of the tissue were isolated,64,1
559,Urine,Urine,Diseased,64,1
589,Urine,Urine,No distinct annotation,64,1
599,Urine,Urine,Cancer,64,1
499,Urine,Urine,Healthy,64,1
520,Urinary bladder,Urinary bladder,Cancer,63,0
481,Urinary bladder,Urinary bladder,Healthy,63,0
496,Ureter,Ureter,Healthy,62,0
546,Unknown,Unknown,no distinct annotation,61,0
455,Unknown,Unknown,Cell culture,61,0
563,Umbilical cord,Umbilical cord,Healthy,60,0
494,Umbilical cord,Umbilical vein,Cell culture,60,0
585,Trophoblast,Trophoblast,Organoid,66,0
558,Tooth,Tooth enamel,Healthy,59,0
480,Testis,Testis,Healthy,56,0
595,T-cells,T-cells,Cell culture,55,0
460,T-cells,CD4 T-cells,Healthy,55,0
461,T-cells,CD8 T-cell,Healthy,55,0
510,Synovial tissue,Synovial tissue,Diseased,54,0
594,Stomach,Stomach,Cancer,53,0
490,Sputum,Sputum,Healthy,52,1
491,Sputum,Sputum,Diseased,52,1
479,Spinal cord,Spinal cord,Healthy,50,0
550,Small intestine,Small intestine,Diseased,48,0
466,Small intestine,Gut,Healthy,48,0
515,Skin,Skin,Diseased,47,0
519,Skin,Keratinocytes,Healthy,47,0
533,Skin,Cerebral metastasis,Cancer,47,0
551,Skin,Epithelial cell,Cell culture + cancer,47,0
561,Skin,Fibroblast,Cancer,47,0
581,Skin,Keratinocytes,Diseased,47,0
583,Skin,Keratinocytes,Cancer,47,0
584,Skin,Skin,Healthy,47,0
586,Skin,Skin,Cancer,47,0
502,Skin,Fibroblast,Healthy,47,0
552,Skeletal muscle,Skeletal muscle,Healthy,46,0
593,Skeletal muscle,Skeletal muscle,Cell culture,46,0
556,Saliva,Saliva,Diseased,44,1
560,Saliva,Saliva,Healthy,44,1
596,Saliva,Saliva,Cell culture,44,1
478,Retina,Retina,Healthy,43,0
477,Rectum,Rectum,Healthy,42,0
591,Prostate,Prostate,Cancer,41,0
476,Prostate,Prostate,Healthy,41,0
475,Placenta,Placenta,Healthy,40,0
525,Peritoneal dialysis fluid,Peritoneal dialysis fluid,Healthy,38,1
487,PBMC,PBMC,Healthy,37,0
545,Parotid gland,parotid gland,Healthy,36,0
524,Pancreas,Pancreatic islet,Healthy,35,0
553,Pancreas,Pancreas,Cancer,35,0
566,Pancreas,Pancreatic islet,Diseased,35,0
570,Pancreas,Pancreas,Diseased,35,0
474,Pancreas,Pancreas,Healthy,35,0
544,Palatine tonsils,Palatine tonsils,Healthy,67,0
549,Ovary,Ovary,Cancer,33,0
569,Ovary,Ovary,Diseased,33,0
473,Ovary,Ovary,Healthy,33,0
509,Ovary,Ovary,Cell culture + cancer,33,0
472,NK-cells,NK-cells,Healthy,32,0
543,Nasal polyps,nasal polyps,Healthy,31,0
