GO:0016020,membrane,cellular_component
GO:0055114,oxidation-reduction process,biological_process
GO:0016021,integral component of membrane,cellular_component
GO:0005743,mitochondrial inner membrane,cellular_component
GO:0005739,mitochondrion,cellular_component
GO:0005515,protein binding,molecular_function
GO:0031966,mitochondrial membrane,cellular_component
GO:0070469,respirasome,cellular_component
GO:0009060,aerobic respiration,biological_process
GO:0008137,NADH dehydrogenase (ubiquinone) activity,molecular_function
GO:0005747,mitochondrial respiratory chain complex I,cellular_component
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone",biological_process
GO:0032981,mitochondrial respiratory chain complex I assembly,biological_process
GO:0014070,response to organic cyclic compound,biological_process
GO:0033194,response to hydroperoxide,biological_process
GO:0042493,response to drug,biological_process
GO:0030425,dendrite,cellular_component
GO:0043025,neuronal cell body,cellular_component
GO:0016491,oxidoreductase activity,molecular_function
GO:0019901,protein kinase binding,molecular_function
GO:0035255,ionotropic glutamate receptor binding,molecular_function
GO:0072593,reactive oxygen species metabolic process,biological_process
GO:0014069,postsynaptic density,cellular_component
GO:0004129,cytochrome-c oxidase activity,molecular_function
GO:0020037,heme binding,molecular_function
GO:0045277,respiratory chain complex IV,cellular_component
GO:0046872,metal ion binding,molecular_function
GO:1902600,proton transmembrane transport,biological_process
GO:0005751,mitochondrial respiratory chain complex IV,cellular_component
GO:0006119,oxidative phosphorylation,biological_process
GO:0022900,electron transport chain,biological_process
GO:0006979,response to oxidative stress,biological_process
GO:0007568,aging,biological_process
GO:0021549,cerebellum development,biological_process
GO:0046688,response to copper ion,biological_process
GO:0051602,response to electrical stimulus,biological_process
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen",biological_process
GO:0015990,electron transport coupled proton transport,biological_process
GO:0005750,mitochondrial respiratory chain complex III,cellular_component
GO:0022904,respiratory electron transport chain,biological_process
GO:0005507,copper ion binding,molecular_function
GO:0007595,lactation,biological_process
GO:0009409,response to cold,biological_process
GO:0010729,positive regulation of hydrogen peroxide biosynthetic process,biological_process
GO:0010940,positive regulation of necrotic cell death,biological_process
GO:2001171,positive regulation of ATP biosynthetic process,biological_process
GO:0042773,ATP synthesis coupled electron transport,biological_process
GO:0015986,ATP synthesis coupled proton transport,biological_process
GO:0015078,proton transmembrane transporter activity,molecular_function
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)",cellular_component
GO:0006811,ion transport,biological_process
GO:0006754,ATP biosynthetic process,biological_process
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)",cellular_component
GO:0046933,"proton-transporting ATP synthase activity, rotational mechanism",molecular_function
